Model,Fold,Epoch,Accuracy,Loss,Val Loss,Val Accuracy,,,
EfficientNet,1,0,0.5608,1.723,0.5962,0.8182,,,0.80602
EfficientNet,1,1,0.8866,0.3988,0.1707,0.9443,,,0.92844
EfficientNet,1,2,0.948,0.1842,0.1567,0.9529,,,0.94796
EfficientNet,1,3,0.988,0.053,0.0119,0.9975,,,0.99836
EfficientNet,1,4,0.9948,0.0225,0.0056,0.9985,,,0.99882
EfficientNet,1,5,0.9975,0.0132,0.0068,0.9975,,,0.99898
EfficientNet,1,6,0.9975,0.013,0.0055,0.9988,,,0.99918
EfficientNet,1,7,0.998,0.0111,0.0051,0.999,,,0.99922
EfficientNet,1,8,0.9975,0.0117,0.0049,0.999,,,0.99918
EfficientNet,1,9,0.9977,0.0109,0.0051,0.999,,,0.99938
EfficientNet,2,0,0.5605,1.7474,0.6274,0.8059,,,
EfficientNet,2,1,0.8904,0.3891,0.2621,0.9181,,,
EfficientNet,2,2,0.9456,0.1877,0.3988,0.8967,,,
EfficientNet,2,3,0.9872,0.0556,0.0085,0.999,,,
EfficientNet,2,4,0.9958,0.0211,0.0046,1,,,
EfficientNet,2,5,0.9972,0.0154,0.0029,1,,,
EfficientNet,2,6,0.9979,0.0126,0.0026,1,,,
EfficientNet,2,7,0.9978,0.0117,0.0024,1,,,
EfficientNet,2,8,0.9978,0.0121,0.0023,0.9998,,,
EfficientNet,2,9,0.9978,0.0104,0.0023,1,,,
EfficientNet,3,0,0.557,1.7468,0.6041,0.8155,,,
EfficientNet,3,1,0.886,0.3835,0.2252,0.9307,,,
EfficientNet,3,2,0.9448,0.1976,0.1426,0.9593,,,
EfficientNet,3,3,0.9865,0.0551,0.0096,0.998,,,
EfficientNet,3,4,0.995,0.0234,0.0058,0.998,,,
EfficientNet,3,5,0.9969,0.0157,0.005,0.9983,,,
EfficientNet,3,6,0.9978,0.0115,0.0044,0.9983,,,
EfficientNet,3,7,0.9979,0.0118,0.0044,0.9983,,,
EfficientNet,3,8,0.9979,0.011,0.0039,0.9983,,,
EfficientNet,3,9,0.9982,0.0109,0.0036,0.9988,,,
EfficientNet,4,0,0.5683,1.6964,0.5783,0.8278,,,
EfficientNet,4,1,0.8951,0.3601,0.2794,0.9243,,,
EfficientNet,4,2,0.9473,0.1849,0.1064,0.9689,,,
EfficientNet,4,3,0.9871,0.0531,0.0103,0.9983,,,
EfficientNet,4,4,0.9966,0.0191,0.0057,0.9988,,,
EfficientNet,4,5,0.9976,0.0137,0.0046,0.9993,,,
EfficientNet,4,6,0.9972,0.0125,0.0047,0.999,,,
EfficientNet,4,7,0.9972,0.0114,0.0045,0.9993,,,
EfficientNet,4,8,0.9985,0.0089,0.0043,0.9993,,,
EfficientNet,4,9,0.9982,0.0096,0.0041,0.9993,,,
EfficientNet,5,0,0.5448,1.7836,0.8149,0.7627,,,
EfficientNet,5,1,0.8819,0.403,0.25,0.9248,,,
EfficientNet,5,2,0.9399,0.2089,0.1337,0.962,,,
EfficientNet,5,3,0.9864,0.0542,0.0071,0.999,,,
EfficientNet,5,4,0.9961,0.0193,0.0046,0.9988,,,
EfficientNet,5,5,0.997,0.0152,0.0028,0.9998,,,
EfficientNet,5,6,0.9973,0.0131,0.0025,0.9998,,,
EfficientNet,5,7,0.997,0.0135,0.0026,0.9995,,,
EfficientNet,5,8,0.9979,0.0117,0.0023,0.9995,,,
EfficientNet,5,9,0.9984,0.0101,0.0023,0.9998,,,
