epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,79.4368,2.83565,0.34584,0.63858,2.78385,0.0671304,0.000332016,0.000332016
2,149.709,1.09129,0.74135,0.96639,0.82704,0.0340975,0.000632414,0.000632414
3,216.953,0.71757,0.81442,0.97711,0.61577,0.00103157,0.000899813,0.000899813
4,284.759,0.58087,0.87689,0.99184,0.37217,0.0008515,0.0008515,0.0008515
5,351.88,0.4433,0.9161,0.99598,0.25128,0.000802,0.000802,0.000802
6,420.855,0.3734,0.92633,0.99696,0.20095,0.0007525,0.0007525,0.0007525
7,487.985,0.33576,0.95884,0.9989,0.12992,0.000703,0.000703,0.000703
8,556.217,0.30697,0.97297,0.99939,0.08172,0.0006535,0.0006535,0.0006535
9,623.277,0.26301,0.96736,0.99903,0.10564,0.000604,0.000604,0.000604
10,690.035,0.22902,0.97832,0.99927,0.0715,0.0005545,0.0005545,0.0005545
11,761.816,0.21764,0.9832,1,0.04878,0.000505,0.000505,0.000505
12,829.357,0.20225,0.99208,0.99988,0.03361,0.0004555,0.0004555,0.0004555
13,896.917,0.16326,0.98794,0.99976,0.03994,0.000406,0.000406,0.000406
14,964.481,0.14415,0.99184,0.99951,0.03149,0.0003565,0.0003565,0.0003565
15,1031.89,0.12336,0.99659,0.99988,0.01447,0.000307,0.000307,0.000307
16,1106.73,0.11399,0.9989,0.99988,0.00698,0.0002575,0.0002575,0.0002575
17,1174.51,0.09539,0.99866,0.99988,0.00618,0.000208,0.000208,0.000208
18,1247.79,0.07806,0.99927,0.99988,0.00464,0.0001585,0.0001585,0.0001585
19,1314.97,0.06943,0.99951,0.99988,0.00348,0.000109,0.000109,0.000109
20,1391.36,0.05706,0.99951,0.99988,0.00276,5.95e-05,5.95e-05,5.95e-05
